LENSID,NIMG,IMG,ID,Parity,ZLENS,ZSRC,VELDISP,ELLIP,PHIE,KAPPA,GAMMA,S,DELAY,MAGI_IN,r0_r,RE_micro,weighted-score
29374166,4,A,29374166_A,Saddle,0.99,2.89,239.8833,0.390407,147.1634,0.71,0.68,0.7,40.698,21.31,12.13598647242159,206.54056626442417,0.3093144000056852
21694504,4,C,21694504_C,Saddle,0.868,1.46,299.2265,0.732032,176.9413,0.78,0.83,0.7,142.855,19.71,18.276972246918838,182.1401989675129,0.30898468816563984
20628782,4,A,20628782_A,Minimum,0.85,1.75,231.2065,0.3906074,122.9662,0.4,0.39,0.8,9.171,22.19,7.086973148150284,206.59875365500744,0.30892657883525526
26083427,4,B,26083427_B,Saddle,0.94,1.98,220.8005,0.5117439,42.17842,0.72,0.71,0.7,40.972,21.37,10.459045029539833,201.18482871548616,0.3088620148634816
41986762,2,A,41986762_A,Saddle,1.164,2.01,245.4709,0.3405389,-84.67889,0.87,0.8,0.6,73.56,18.99,28.207831318525166,169.96508312450135,0.30857815007790934
9194400,4,B,9194400_B,Saddle,0.612,3.57,212.3244,0.5094442,39.62387,0.74,0.72,0.6,20.514,20.27,19.67686418781309,250.52315603229408,0.30844670874140245
1164597,2,A,1164597_A,Saddle,0.284,2.67,193.6422,0.3541695,47.11678,0.74,0.68,0.6,33.501,21.91,9.252409094410137,376.81890322628277,0.30816629446886484
2325540,4,C,2325540_C,Minimum,0.364,1.44,228.0342,0.4507573,95.20587,0.37,0.4,0.8,2.534,19.95,16.43890230203523,330.3403908118134,0.30806699856120767
2284243,2,B,2284243_B,Minimum,0.362,1.85,211.8361,0.09787754,98.7298,0.41,0.36,0.8,0.0,18.29,36.50442452980856,343.5468954222325,0.30754872470356526
14787659,4,C,14787659_C,Minimum,0.74,3.53,264.85,0.3158909,-22.03925,0.42,0.39,0.8,0.0,22.37,8.219996515976934,231.22347952431974,0.30739797788302753
375860,2,B,375860_B,Minimum,0.19,0.65,240.9905,0.5001365,179.052,0.38,0.33,0.8,0.0,20.33,8.848005111084214,339.67658147609444,0.3073542579406783
1311739,2,A,1311739_A,Minimum,0.296,1.92,260.016,0.3093089,-173.8161,0.37,0.36,0.9,0.0,20.95,12.3007814698195,380.0072282661018,0.30714041011030385
